gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,66,Yes,No,Fiber optic,No,No,No internet service,No,No,Yes,One year,No,Electronic check,84.1,5550.6,Yes
Female,1,Yes,No,24,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No,One year,No,Bank transfer,95.94,2302.56,No
Male,0,Yes,No,60,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,29.19,1751.4,Yes
Male,0,Yes,No,25,Yes,No,DSL,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,103.19,2579.75,Yes
Male,0,Yes,No,33,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card,48.27,1592.91,No
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card,58.16,465.28,Yes
Male,0,Yes,Yes,39,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,Yes,Yes,One year,No,Electronic check,47.66,1858.74,No
Male,0,Yes,No,6,No,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card,102.68,616.08,Yes
Male,0,Yes,No,29,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,106.98,3102.42,Yes
Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Mailed check,34.05,2213.25,No
Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,72.2,2093.8,Yes
Male,0,Yes,No,67,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Credit card,58.18,3898.06,No
Male,0,No,No,57,No,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,38.2,2177.4,Yes
Male,0,No,Yes,54,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,75.66,4085.64,Yes
Female,0,Yes,No,13,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer,56.56,735.28,No
Male,0,Yes,No,36,Yes,No,Fiber optic,No,No,No,Yes,No,No internet service,Two year,Yes,Bank transfer,91.56,3296.16,No
Female,0,Yes,Yes,43,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card,103.63,4456.09,Yes
Female,0,No,Yes,5,Yes,No,DSL,Yes,No,No internet service,Yes,No,No,One year,No,Mailed check,21.35,106.75,No
Female,1,Yes,No,25,No,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Bank transfer,74.77,1869.25,No
Male,0,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,78.09,1015.17,Yes
Female,1,Yes,No,7,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,51.81,362.67,Yes
Male,0,Yes,No,23,Yes,Yes,DSL,No,No,No,No internet service,No,No,Month-to-month,Yes,Electronic check,100.28,2306.44,Yes
Female,0,Yes,Yes,38,Yes,Yes,No,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,110.96,4216.48,No
Female,1,Yes,No,48,Yes,No phone service,No,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card,96.42,4628.16,Yes
Female,0,No,No,62,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,72.74,4509.88,Yes
Female,0,Yes,No,25,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,No,Two year,Yes,Mailed check,21.12,528.0,No
Female,0,No,No,9,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Electronic check,62.19,559.71,No
Female,0,No,Yes,57,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,89.38,5094.66,Yes
Female,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer,35.94,467.22,Yes
Female,0,Yes,Yes,70,Yes,No,DSL,Yes,Yes,No internet service,No,Yes,No,Month-to-month,No,Credit card,97.58,6830.6,Yes
Male,0,Yes,Yes,38,Yes,No,DSL,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,81.35,3091.3,Yes
Male,0,Yes,No,30,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No,Two year,Yes,Credit card,53.16,1594.8,No
Female,0,Yes,Yes,49,Yes,No,DSL,Yes,No,No,Yes,No internet service,No,Two year,No,Credit card,104.85,5137.65,No
Female,0,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card,84.31,1264.65,Yes
Female,0,Yes,Yes,71,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,50.35,3574.85,Yes
Male,0,No,Yes,50,No,Yes,No,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer,39.73,1986.5,Yes
Female,1,Yes,No,14,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card,35.69,499.66,Yes
Male,0,No,Yes,37,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,118.67,4390.79,Yes
Male,1,Yes,Yes,70,Yes,No,DSL,No internet service,No,No,No,Yes,No internet service,One year,No,Credit card,106.89,7482.3,Yes
Male,0,Yes,No,71,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card,88.82,6306.22,Yes
Male,0,No,Yes,20,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Bank transfer,67.06,1341.2,No
Male,0,Yes,Yes,15,Yes,Yes,DSL,No internet service,No,No,No,Yes,No,Month-to-month,No,Bank transfer,104.81,1572.15,Yes
Female,0,No,No,66,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,90.32,5961.12,No
Female,0,Yes,Yes,64,Yes,No phone service,No,No,No,No,No internet service,No,No,One year,No,Credit card,75.72,4846.08,No
